"state","disengaged","notdisengaged","stderror"
"Alabama",14.0524402346562,85.9475597653438,0.533114568928929
"Alaska",17.9348694512799,82.0651305487201,1.91833038151803
"Arizona",13.6973749496803,86.3026250503197,0.495978909742449
"Arkansas",14.9837767157373,85.0162232842627,0.706070776868301
"California",11.4873999944248,88.5126000055752,0.178819980825762
"Colorado",10.6728872142529,89.3271127857471,0.507447634938542
"Connecticut",8.49347337099945,91.5065266290005,0.546118734478466
"Delaware",14.3079969364691,85.6920030635309,1.45180122016765
"District of Columbia",14.7969274139796,85.2030725860204,1.58789848382763
"Florida",11.7996125907133,88.2003874092867,0.326755273147495
"Georgia",12.5687911073503,87.4312088926497,0.403048066331708
"Hawaii",11.0615135420198,88.9384864579802,1.11928229069609
"Idaho",10.9466854888614,89.0533145111386,1.06481223357991
"Illinois",10.7464489888352,89.2535510111648,0.303300820388711
"Indiana",10.7310986330894,89.2689013669106,0.444926922773752
"Iowa",7.37935560206613,92.6206443979339,0.526632943465947
"Kansas",9.95294921669646,90.0470507833035,0.640188922336244
"Kentucky",14.295665522058,85.704334477942,0.79403325588802
"Louisiana",17.4476833706607,82.5523166293393,0.791343899344595
"Maine",11.898897161731,88.1011028382691,1.23699093949191
"Maryland",11.080274101766,88.919725898234,0.491638189165879
"Massachusetts",7.39991921884163,92.6000807811584,0.402239147591602
"Michigan",11.6127547316797,88.3872452683203,0.481565685141127
"Minnesota",7.54024264530965,92.4597573546904,0.514760741476636
"Mississippi",14.4565726981797,85.5434273018203,0.899865072626584
"Missouri",10.1238591565961,89.8761408434039,0.579701737994067
"Montana",11.7521500685529,88.2478499314471,1.32909551257911
"Nebraska",9.18151513613212,90.8184848638679,0.816693032103568
"Nevada",14.2804506525835,85.7195493474165,0.815107707993849
"New Hampshire",8.53753159962957,91.4624684003704,0.817434410646107
"New Jersey",10.0586054183541,89.9413945816459,0.3860273090668
"New Mexico",16.3619908119895,83.6380091880105,1.30232514362234
"New York",12.0859180998756,87.9140819001244,0.311106050603626
"North Carolina",11.6204685672809,88.3795314327191,0.382321170448347
"North Dakota",6.98925257908711,93.0107474209129,0.997575936794344
"Ohio",11.069691178697,88.930308821303,0.377249563830194
"Oklahoma",14.197563526984,85.802436473016,0.71872113901096
"Oregon",11.8655984955494,88.1344015044506,0.702613427446319
"Pennsylvania",10.7455922069821,89.2544077930179,0.37783786690698
"Rhode Island",7.49689160167288,92.5031083983271,0.801697671734168
"South Carolina",12.6747242077774,87.3252757922226,0.535885755476343
"South Dakota",9.21513269339356,90.7848673066064,1.22957385242529
"Tennessee",13.1460705514624,86.8539294485376,0.558820518103666
"Texas",13.3807172886218,86.6192827113781,0.263842268875761
"Utah",9.15389479321604,90.846105206784,0.611048812464329
"Vermont",11.5599719727371,88.4400280272629,2.3413539823646
"Virginia",9.76914197768373,90.2308580223163,0.424010738100591
"Washington",12.2631047907326,87.7368952092673,0.441203467288245
"West Virginia",17.2798098760936,82.7201901239064,1.01844965887055
"Wisconsin",9.11233296135751,90.8876670386425,0.523630594969379
"Wyoming",10.3046946514973,89.6953053485027,1.5097540915156
"Puerto Rico",21.6019893240219,78.3980106759781,0.723076430596793
